neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Tribeca,40.72355,-74.01045,Entire home/apt,375,2,30
Murray Hill,40.74908,-73.98095,Entire home/apt,170,30,1
Midtown,40.74759,-73.98889,Entire home/apt,220,2,9
West Village,40.73564,-74.00997,Entire home/apt,229,2,0
Chelsea,40.73846,-73.99769,Entire home/apt,334,30,1
Harlem,40.81781,-73.94577,Entire home/apt,110,30,101
Upper East Side,40.76931,-73.94841,Private room,55,2,2
Hell's Kitchen,40.75505,-73.99811,Private room,179,1,16
Upper West Side,40.79986,-73.96415,Private room,100,1,86
Morningside Heights,40.80904,-73.95807,Entire home/apt,180,3,1
Chelsea,40.73756,-73.99111,Entire home/apt,219,4,5
Washington Heights,40.8335,-73.9468,Entire home/apt,215,4,2
SoHo,40.72609,-74.00035,Entire home/apt,250,3,1
East Village,40.72697,-73.98373,Entire home/apt,250,2,4
Midtown,40.75575,-73.96842,Private room,110,2,61
Midtown,40.74422,-73.98172,Entire home/apt,190,5,0
Chinatown,40.71626,-73.99224,Private room,68,1,7
Upper West Side,40.78981,-73.97518,Entire home/apt,104,30,27
Upper East Side,40.76446,-73.95603,Private room,86,2,2
Chelsea,40.75005,-73.99718,Entire home/apt,320,3,0
Kips Bay,40.74027,-73.98061,Entire home/apt,295,4,72
Washington Heights,40.85019,-73.94093,Shared room,40,1,0
West Village,40.7342,-74.00854,Entire home/apt,225,2,6
Chelsea,40.74386,-74.00106,Entire home/apt,200,2,2
Upper West Side,40.78687,-73.97428,Entire home/apt,175,2,1
Hell's Kitchen,40.77122,-73.99234,Entire home/apt,80,1,1
Upper West Side,40.77655,-73.98074,Entire home/apt,200,3,9
Little Italy,40.71819,-73.99786,Entire home/apt,196,6,6
Harlem,40.81742,-73.95358,Private room,22,10,3
Midtown,40.74478,-73.98442,Entire home/apt,349,4,32
Greenwich Village,40.72851,-73.99985,Entire home/apt,195,3,9
Financial District,40.70856,-74.00659,Entire home/apt,135,29,0
Upper West Side,40.79358,-73.97452,Private room,175,4,3
Hell's Kitchen,40.7548,-73.9948,Entire home/apt,175,1,27
Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210
Harlem,40.8241,-73.95259,Private room,100,3,1
Midtown,40.7532,-73.97141,Private room,119,2,1
Midtown,40.75935,-73.96471,Entire home/apt,289,2,3
Upper West Side,40.80033,-73.96509,Entire home/apt,150,90,54
Morningside Heights,40.80841,-73.95625,Private room,85,3,13
Midtown,40.74362,-73.98207,Entire home/apt,388,3,13
Lower East Side,40.71848,-73.98439,Private room,89,1,21
Midtown,40.74399,-73.98398,Entire home/apt,850,1,0
Financial District,40.70504,-74.00787,Entire home/apt,250,2,6
Midtown,40.75248,-73.97332,Private room,200,2,0
Kips Bay,40.73774,-73.97343,Private room,95,28,1
West Village,40.73458,-74.00492,Entire home/apt,220,2,13
Midtown,40.74335,-73.98287,Entire home/apt,250,1,3
Lower East Side,40.72184,-73.9868,Private room,100,3,0
Hell's Kitchen,40.76431,-73.98859,Shared room,75,1,69
Washington Heights,40.84316,-73.94062,Private room,100,2,11
Hell's Kitchen,40.75796,-73.99522,Private room,166,1,0
NoHo,40.72545,-73.99492,Entire home/apt,90,7,2
Upper East Side,40.77141,-73.9534,Shared room,40,1,56
Harlem,40.82088,-73.95628,Private room,50,2,12
East Harlem,40.80177,-73.93532,Entire home/apt,100,7,0
Chinatown,40.71326,-73.99698,Private room,75,2,59
Upper East Side,40.76893,-73.95967,Entire home/apt,350,3,53
Harlem,40.83086,-73.94478,Private room,35,1,0
Flatiron District,40.73955,-73.98568,Entire home/apt,275,2,4
East Village,40.73249,-73.9887,Private room,200,30,8
East Village,40.72982,-73.98076,Entire home/apt,118,2,4
West Village,40.73847,-74.0062,Entire home/apt,175,2,7
Chinatown,40.71415,-73.99255,Entire home/apt,121,2,8
Financial District,40.71086,-74.00464,Private room,128,3,4
West Village,40.73721,-74.00973,Entire home/apt,110,6,1
East Village,40.73217,-73.98801,Entire home/apt,165,1,63
Upper East Side,40.777,-73.95771,Private room,76,1,0
Harlem,40.82179,-73.94777,Entire home/apt,95,4,0
East Village,40.72628,-73.97952,Private room,67,4,11
Chelsea,40.74057,-73.99977,Entire home/apt,299,5,1
Upper East Side,40.77181,-73.9574,Entire home/apt,222,2,0
Inwood,40.85945,-73.92834,Entire home/apt,69,1,1
Inwood,40.86906,-73.9173,Private room,50,2,7
Upper East Side,40.76835,-73.95837,Private room,100,1,19
Lower East Side,40.71954,-73.98914,Entire home/apt,250,7,7
East Harlem,40.80755,-73.94141,Entire home/apt,155,3,116
Upper East Side,40.77743,-73.94977,Entire home/apt,140,31,4
Midtown,40.75729,-73.96807,Shared room,75,1,18
Morningside Heights,40.81473,-73.96217,Entire home/apt,140,2,2
Washington Heights,40.85674,-73.93003,Private room,35,2,5
Morningside Heights,40.80507,-73.96465,Entire home/apt,290,4,3
East Harlem,40.78774,-73.94627,Private room,73,180,0
East Village,40.73044,-73.98683,Entire home/apt,160,1,15
East Village,40.72132,-73.98068,Private room,83,2,1
Gramercy,40.73714,-73.98827,Entire home/apt,175,4,2
Upper East Side,40.77065,-73.95702,Private room,175,30,0
Upper East Side,40.77126,-73.95671,Entire home/apt,116,30,1
West Village,40.73283,-74.00734,Entire home/apt,300,2,7
Morningside Heights,40.80478,-73.96665,Private room,70,30,0
West Village,40.72975,-74.0042,Entire home/apt,170,2,9
Upper West Side,40.79744,-73.97098,Private room,95,30,2
Upper East Side,40.77979,-73.95379,Entire home/apt,260,2,8
West Village,40.73088,-74.00378,Entire home/apt,300,1,59
Inwood,40.8637,-73.92858,Entire home/apt,160,3,0
Upper West Side,40.79119,-73.9782,Entire home/apt,150,5,6
Midtown,40.75362,-73.97158,Private room,749,2,5
Washington Heights,40.85497,-73.93469,Entire home/apt,99,3,11
Hell's Kitchen,40.76156,-73.99342,Entire home/apt,150,45,1
East Village,40.73035,-73.9845,Entire home/apt,295,5,0
Morningside Heights,40.81424,-73.96051,Entire home/apt,100,4,2
Harlem,40.82611,-73.94407,Entire home/apt,155,2,138
Murray Hill,40.74522,-73.97505,Entire home/apt,145,5,18
East Village,40.72888,-73.99019,Entire home/apt,300,1,8
Midtown,40.76032,-73.96618,Entire home/apt,160,30,7
Midtown,40.75157,-73.97134,Private room,250,3,0
Hell's Kitchen,40.76389,-73.98671,Shared room,99,1,7
Lower East Side,40.71862,-73.99154,Private room,125,1,1
Financial District,40.70462,-74.00912,Entire home/apt,248,30,0
Upper East Side,40.77559,-73.95033,Entire home/apt,160,2,2
Upper West Side,40.76977,-73.98638,Private room,89,3,231
Harlem,40.82486,-73.93993,Entire home/apt,300,3,0
Chinatown,40.7134,-73.99069,Entire home/apt,150,1,0
Gramercy,40.7367,-73.98985,Entire home/apt,499,5,28
Midtown,40.75598,-73.97034,Entire home/apt,260,2,64
Gramercy,40.73307,-73.9835,Private room,80,2,23
Nolita,40.72271,-73.99545,Entire home/apt,180,3,2
East Village,40.72191,-73.97869,Entire home/apt,160,2,4
Upper West Side,40.80066,-73.96941,Private room,125,1,1
Hell's Kitchen,40.76435,-73.99298,Private room,85,1,8
Harlem,40.80639,-73.94829,Entire home/apt,105,30,5
Hell's Kitchen,40.75541,-73.99502,Private room,156,7,5
Upper East Side,40.77089,-73.95946,Entire home/apt,125,5,13
Financial District,40.70883,-74.01266,Entire home/apt,299,7,6
Upper West Side,40.78737,-73.97293,Entire home/apt,145,3,75
SoHo,40.72708,-74.00055,Entire home/apt,150,5,36
East Harlem,40.78728,-73.9471,Entire home/apt,35,30,0
Washington Heights,40.84503,-73.93978,Private room,31,7,0
Harlem,40.82502,-73.94404,Private room,90,3,1
Lower East Side,40.72177,-73.98898,Entire home/apt,300,3,7
Financial District,40.70826,-74.00475,Entire home/apt,110,29,0
Harlem,40.81893,-73.95417,Entire home/apt,202,3,0
Midtown,40.75909,-73.96398,Entire home/apt,154,30,0
Theater District,40.76044,-73.98321,Entire home/apt,399,10,0
Upper West Side,40.79739,-73.96945,Entire home/apt,195,3,8
East Harlem,40.79483,-73.93478,Private room,90,3,2
Tribeca,40.71634,-74.00505,Entire home/apt,1500,2,4
Gramercy,40.73591,-73.98744,Entire home/apt,540,2,53
Harlem,40.8301,-73.94757,Private room,99,1,22
Hell's Kitchen,40.76323,-73.98893,Entire home/apt,250,2,26
Greenwich Village,40.73189,-73.9947,Entire home/apt,375,14,26
Upper East Side,40.77258,-73.95213,Entire home/apt,120,1,13
Chelsea,40.74183,-73.99997,Entire home/apt,330,2,124
Lower East Side,40.71693,-73.98948,Entire home/apt,100,5,8
Upper West Side,40.80001,-73.96459,Entire home/apt,180,2,15
Harlem,40.82204,-73.94293,Private room,65,1,60
East Village,40.7271,-73.99092,Entire home/apt,195,2,0
East Village,40.73052,-73.98461,Private room,130,3,134
Lower East Side,40.71848,-73.98159,Entire home/apt,124,28,13
East Harlem,40.79755,-73.94413,Entire home/apt,250,1,1
Harlem,40.80477,-73.95454,Private room,40,2,16
Hell's Kitchen,40.76106,-73.99148,Private room,95,1,23
Greenwich Village,40.72854,-74.00275,Private room,100,1,0
Chelsea,40.74984,-73.99482,Entire home/apt,595,3,106
Kips Bay,40.74374,-73.97998,Entire home/apt,200,7,0
Midtown,40.75327,-73.97175,Private room,599,3,2
Upper West Side,40.80102,-73.96669,Private room,60,1,3
East Village,40.7239,-73.98312,Entire home/apt,150,5,0
Harlem,40.80686,-73.9554,Entire home/apt,199,1,0
Financial District,40.70831,-74.00642,Entire home/apt,180,29,0
Tribeca,40.71943,-74.00435,Entire home/apt,1000,1,2
Upper East Side,40.77388,-73.94913,Private room,83,1,75
West Village,40.73967,-74.00933,Entire home/apt,850,3,0
Midtown,40.74713,-73.98489,Private room,110,3,2
Little Italy,40.71862,-73.99677,Private room,115,5,3
Midtown,40.75645,-73.97828,Entire home/apt,475,1,0
Hell's Kitchen,40.76072,-73.98792,Private room,120,1,3
Hell's Kitchen,40.76125,-73.99299,Entire home/apt,164,2,85
Harlem,40.82986,-73.93965,Entire home/apt,151,2,0
East Harlem,40.78442,-73.94722,Entire home/apt,110,5,70
Hell's Kitchen,40.76432,-73.99396,Entire home/apt,175,4,19
West Village,40.73153,-74.00469,Entire home/apt,154,2,4
Chinatown,40.71371,-73.99355,Entire home/apt,100,2,73
Upper West Side,40.78129,-73.98572,Shared room,65,2,7
Upper East Side,40.76074,-73.96015,Entire home/apt,340,30,0
Midtown,40.7655,-73.98308,Entire home/apt,239,30,0
West Village,40.74,-74.0079,Entire home/apt,80,60,1
Upper West Side,40.79072,-73.97252,Entire home/apt,150,3,0
Upper West Side,40.79355,-73.96752,Entire home/apt,200,31,0
Financial District,40.70519,-74.0082,Entire home/apt,259,30,0
Midtown,40.75077,-73.9814,Entire home/apt,145,30,4
Harlem,40.8098,-73.9441,Private room,89,5,34
Morningside Heights,40.81143,-73.95987,Private room,60,1,0
Inwood,40.86144,-73.92423,Private room,40,1,2
Midtown,40.75836,-73.96289,Entire home/apt,135,30,0
Hell's Kitchen,40.7603,-73.99222,Entire home/apt,200,3,203
Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3
East Harlem,40.78967,-73.94199,Entire home/apt,145,2,7
Harlem,40.80948,-73.95514,Entire home/apt,148,4,1
Marble Hill,40.87519,-73.91245,Private room,65,2,5
East Harlem,40.7908,-73.94491,Private room,99,1,6
Midtown,40.76135,-73.97785,Private room,85,4,29
Financial District,40.7088,-74.01455,Entire home/apt,275,2,0
Upper East Side,40.76178,-73.96653,Private room,129,3,1
Upper East Side,40.77912,-73.95594,Private room,100,3,8
Lower East Side,40.72247,-73.98838,Entire home/apt,185,3,1
Washington Heights,40.85396,-73.93785,Entire home/apt,75,20,2
Midtown,40.75258,-73.99311,Private room,90,1,9
Harlem,40.80002,-73.95559,Private room,155,2,14
Upper East Side,40.77316,-73.94495,Entire home/apt,250,2,10
Midtown,40.7587,-73.96705,Private room,105,2,17
Upper West Side,40.79745,-73.96916,Entire home/apt,280,1,1
Hell's Kitchen,40.76093,-73.99924,Entire home/apt,499,30,0
Harlem,40.80434,-73.95515,Entire home/apt,165,3,2
Chelsea,40.74694,-74.0013,Entire home/apt,100,2,3
East Harlem,40.79478,-73.94178,Entire home/apt,325,7,5
Upper West Side,40.78648,-73.97923,Shared room,60,1,34
Hell's Kitchen,40.76573,-73.98897,Entire home/apt,500,3,14
Financial District,40.70724,-74.00614,Entire home/apt,699,29,0
Hell's Kitchen,40.75892,-73.98949,Entire home/apt,133,30,7
Chelsea,40.74849,-73.98957,Entire home/apt,480,5,106
Harlem,40.80707,-73.95242,Private room,40,20,0
Financial District,40.7057,-74.00819,Entire home/apt,650,1,7
Hell's Kitchen,40.76134,-73.99299,Entire home/apt,150,30,0
Harlem,40.80462,-73.95622,Entire home/apt,180,2,32
Harlem,40.82624,-73.93925,Private room,100,3,0
Two Bridges,40.70992,-74.00102,Private room,85,7,2
Midtown,40.75029,-73.98402,Entire home/apt,350,5,4
SoHo,40.72194,-73.9983,Private room,120,1,25
Chinatown,40.7164,-73.99188,Private room,73,25,13
East Harlem,40.79733,-73.93988,Private room,55,3,125
Harlem,40.81332,-73.94869,Private room,65,1,3
Chelsea,40.75164,-73.99727,Entire home/apt,120,30,2
Washington Heights,40.83686,-73.94393,Private room,45,3,13
Lower East Side,40.715,-73.98633,Private room,86,1,7
SoHo,40.72789,-74.00275,Entire home/apt,205,4,15
Inwood,40.86159,-73.92686,Private room,60,1,15
Kips Bay,40.73891,-73.98295,Private room,139,2,1
Harlem,40.80872,-73.94274,Entire home/apt,200,31,25
Washington Heights,40.833,-73.93806,Entire home/apt,99,3,5
Murray Hill,40.74436,-73.97321,Entire home/apt,175,30,0
Upper West Side,40.80272,-73.96634,Private room,45,1,7
Midtown,40.75143,-73.96973,Entire home/apt,1100,120,0
Murray Hill,40.74933,-73.9724,Entire home/apt,300,1,2
Harlem,40.81693,-73.95421,Private room,180,1,26
Upper East Side,40.77546,-73.95165,Entire home/apt,150,3,75
Gramercy,40.73565,-73.98056,Entire home/apt,90,30,5
Chelsea,40.74057,-74.00263,Entire home/apt,150,4,21
Harlem,40.80113,-73.95287,Private room,70,4,35
Upper West Side,40.78378,-73.97845,Private room,85,2,4
Morningside Heights,40.80469,-73.96381,Entire home/apt,100,1,0
Harlem,40.80473,-73.9532,Entire home/apt,259,8,17
West Village,40.72965,-74.00261,Private room,99,12,60
Upper West Side,40.7975,-73.97161,Entire home/apt,199,2,83
Financial District,40.70852,-74.0062,Entire home/apt,187,29,1
Upper East Side,40.7661,-73.95419,Entire home/apt,118,3,3
SoHo,40.728,-74.00265,Private room,110,3,71
Midtown,40.76534,-73.98096,Private room,425,1,4
Hell's Kitchen,40.7606,-73.99345,Entire home/apt,150,8,8
SoHo,40.72182,-74.00033,Entire home/apt,500,3,0
Chelsea,40.74233,-73.99865,Entire home/apt,199,4,32
Morningside Heights,40.80562,-73.95978,Private room,200,7,1
Chelsea,40.74899,-74.00403,Private room,90,7,12
Harlem,40.82452,-73.94499,Entire home/apt,57,30,0
Harlem,40.82187,-73.95562,Private room,57,1,2
Upper East Side,40.77331,-73.95459,Entire home/apt,400,7,4
Lower East Side,40.71422,-73.98808,Entire home/apt,150,3,8
Upper East Side,40.77481,-73.95641,Entire home/apt,123,3,32
Lower East Side,40.71383,-73.98867,Private room,60,5,13
East Harlem,40.79995,-73.94121,Private room,50,5,16
Midtown,40.7513,-73.97239,Private room,249,3,1
Theater District,40.75948,-73.98615,Entire home/apt,152,29,1
Midtown,40.74484,-73.98355,Entire home/apt,150,20,0
Upper East Side,40.77499,-73.94875,Entire home/apt,120,1,1
Midtown,40.74646,-73.9863,Entire home/apt,180,1,2
East Village,40.72526,-73.98128,Entire home/apt,140,3,6
Upper West Side,40.7832,-73.98189,Entire home/apt,136,31,2
Harlem,40.82196,-73.94247,Entire home/apt,100,3,14
Washington Heights,40.85188,-73.93588,Private room,70,1,26
Hell's Kitchen,40.76228,-73.99026,Entire home/apt,195,2,53
East Village,40.72145,-73.97881,Private room,75,4,5
East Village,40.72208,-73.98473,Entire home/apt,110,12,11
Hell's Kitchen,40.7635,-73.9878,Entire home/apt,145,4,2
East Harlem,40.79149,-73.94658,Private room,80,5,0
Upper East Side,40.76892,-73.96845,Entire home/apt,214,3,151
Chelsea,40.74482,-73.99882,Entire home/apt,180,1,72
SoHo,40.72095,-73.99961,Entire home/apt,210,3,34
Upper East Side,40.77117,-73.95851,Entire home/apt,75,7,13
Harlem,40.80156,-73.95128,Entire home/apt,240,3,2
East Village,40.7305,-73.98416,Entire home/apt,150,1,0
Harlem,40.81461,-73.94635,Entire home/apt,110,4,5
Chelsea,40.74374,-74.00044,Entire home/apt,199,2,177
Chelsea,40.74507,-73.99452,Entire home/apt,175,7,6
Upper West Side,40.78309,-73.97831,Private room,75,1,1
Civic Center,40.71292,-73.99819,Private room,165,2,0
East Harlem,40.807,-73.93976,Entire home/apt,400,2,0
Tribeca,40.71686,-74.00484,Entire home/apt,305,30,0
Tribeca,40.71868,-74.00765,Entire home/apt,1200,5,13
Upper West Side,40.78487,-73.97816,Private room,68,6,1
Lower East Side,40.72131,-73.98508,Private room,150,2,1
Financial District,40.70517,-74.01142,Entire home/apt,350,3,0
Midtown,40.74829,-73.98653,Entire home/apt,180,30,0
East Village,40.72247,-73.98435,Private room,100,1,5
East Village,40.72544,-73.97818,Private room,2500,60,0
East Village,40.72228,-73.98584,Entire home/apt,125,5,3
Washington Heights,40.83919,-73.94585,Private room,75,3,2
Greenwich Village,40.72969,-73.9995,Entire home/apt,175,1,4
Upper East Side,40.7752,-73.95572,Entire home/apt,189,5,18
Hell's Kitchen,40.765,-73.98737,Entire home/apt,300,1,0
Kips Bay,40.74153,-73.9797,Private room,80,30,3
Upper East Side,40.76771,-73.95844,Entire home/apt,110,4,8
Harlem,40.82888,-73.94307,Private room,75,3,20
Financial District,40.7105,-74.00641,Private room,95,1,20
Washington Heights,40.83318,-73.94081,Private room,35,1,0
Upper West Side,40.78981,-73.9697,Entire home/apt,275,14,0
Hell's Kitchen,40.76368,-73.98881,Entire home/apt,239,2,6
Harlem,40.8255,-73.9435,Private room,55,1,8
Upper West Side,40.78931,-73.9752,Entire home/apt,200,5,12
East Harlem,40.79155,-73.94746,Private room,80,1,70
Morningside Heights,40.80711,-73.95826,Entire home/apt,114,1,1
Washington Heights,40.8398,-73.94384,Private room,55,21,8
Morningside Heights,40.81453,-73.96141,Entire home/apt,125,3,3
West Village,40.7327,-74.00341,Private room,80,1,0
Harlem,40.80657,-73.95532,Entire home/apt,140,2,5
Upper West Side,40.80127,-73.96166,Private room,72,2,14
Washington Heights,40.83368,-73.94314,Private room,80,4,0
Financial District,40.7071,-74.01194,Entire home/apt,230,2,6
Harlem,40.82416,-73.95306,Private room,75,1,11
East Harlem,40.79805,-73.94533,Entire home/apt,100,4,50
Upper West Side,40.79284,-73.96858,Entire home/apt,120,1,0
Upper West Side,40.79039,-73.96789,Entire home/apt,180,4,9
Upper East Side,40.77222,-73.95604,Entire home/apt,118,30,4
Battery Park City,40.70966,-74.01644,Private room,69,2,3
Upper West Side,40.78958,-73.9794,Entire home/apt,165,1,2
Washington Heights,40.83524,-73.943,Entire home/apt,165,4,1
Upper West Side,40.80111,-73.96539,Private room,75,1,205
Harlem,40.82655,-73.93943,Private room,79,3,19
Harlem,40.81783,-73.94051,Entire home/apt,110,2,60
Washington Heights,40.85295,-73.93595,Entire home/apt,250,2,0
Tribeca,40.71725,-74.00528,Entire home/apt,1500,1,0
Financial District,40.71086,-74.00721,Entire home/apt,525,2,3
West Village,40.73023,-74.00294,Entire home/apt,250,3,28
Washington Heights,40.85479,-73.93313,Entire home/apt,150,5,6
East Harlem,40.7951,-73.94716,Private room,105,2,88
Upper West Side,40.78519,-73.97032,Entire home/apt,150,5,0
Morningside Heights,40.80419,-73.96603,Entire home/apt,180,5,4
Upper East Side,40.76944,-73.95252,Entire home/apt,150,2,0
Hell's Kitchen,40.76747,-73.98613,Entire home/apt,87,30,2
Midtown,40.75279,-73.97251,Entire home/apt,129,30,4
Chinatown,40.71364,-73.99153,Private room,50,1,42
Hell's Kitchen,40.76608,-73.99203,Entire home/apt,90,2,1
East Village,40.73036,-73.98673,Entire home/apt,250,7,20
Harlem,40.80849,-73.94244,Private room,150,7,0
Hell's Kitchen,40.76708,-73.98295,Private room,270,6,4
East Village,40.72553,-73.9777,Private room,70,4,0
Greenwich Village,40.73523,-73.99465,Entire home/apt,180,3,2
West Village,40.72918,-74.00482,Private room,209,1,40
Kips Bay,40.74378,-73.97356,Entire home/apt,239,29,0
SoHo,40.72751,-74.0018,Private room,250,7,3
Midtown,40.7531,-73.97321,Private room,252,2,3
Chinatown,40.71508,-73.9975,Private room,75,1,33
Harlem,40.82974,-73.94193,Private room,85,1,190
Hell's Kitchen,40.75658,-73.99734,Entire home/apt,150,3,7
Upper East Side,40.77458,-73.94769,Entire home/apt,185,30,0
Upper East Side,40.78096,-73.9475,Entire home/apt,155,4,9
Midtown,40.75242,-73.97261,Private room,100,1,4
Kips Bay,40.74072,-73.97794,Entire home/apt,307,30,0
Hell's Kitchen,40.76258,-73.9887,Entire home/apt,180,4,48
Morningside Heights,40.80605,-73.96496,Entire home/apt,125,3,16
Washington Heights,40.85482,-73.93137,Entire home/apt,174,1,6
Theater District,40.75783,-73.98908,Private room,100,1,38
Kips Bay,40.74289,-73.98134,Entire home/apt,175,2,22
Hell's Kitchen,40.76291,-73.9875,Entire home/apt,250,30,0
Kips Bay,40.74235,-73.97971,Private room,150,5,1
Nolita,40.72098,-73.99493,Entire home/apt,350,1,0
Inwood,40.86541,-73.92935,Private room,52,2,10
Gramercy,40.73619,-73.98022,Private room,88,18,0
SoHo,40.72615,-74.00325,Entire home/apt,285,4,1
Hell's Kitchen,40.75538,-73.99751,Private room,90,2,0
Chelsea,40.74688,-73.99657,Private room,99,5,2
Financial District,40.70606,-74.00899,Entire home/apt,199,1,3
Harlem,40.82287,-73.95394,Private room,150,2,26
Two Bridges,40.71262,-73.99592,Private room,119,3,17
East Harlem,40.78825,-73.9487,Private room,60,8,6
West Village,40.73314,-74.00835,Private room,250,2,0
Midtown,40.76329,-73.97543,Private room,100,6,4
Hell's Kitchen,40.76108,-73.99812,Entire home/apt,239,30,1
Upper West Side,40.78974,-73.97018,Entire home/apt,275,7,15
Harlem,40.82211,-73.93887,Entire home/apt,85,4,0
Morningside Heights,40.80405,-73.96375,Private room,67,3,7
Midtown,40.74897,-73.98642,Private room,120,3,2
East Village,40.7228,-73.98562,Entire home/apt,300,23,1
Chelsea,40.73942,-74.00009,Shared room,50,1,61
Midtown,40.75145,-73.97011,Entire home/apt,175,30,0
West Village,40.72911,-74.00338,Private room,106,5,2
Upper East Side,40.78521,-73.95489,Entire home/apt,200,7,30
Harlem,40.81773,-73.94357,Entire home/apt,75,4,8
Roosevelt Island,40.7579,-73.95256,Entire home/apt,185,2,23
Inwood,40.86648,-73.9263,Private room,75,7,0
Hell's Kitchen,40.76726,-73.98285,Entire home/apt,395,5,9
Upper East Side,40.76436,-73.96836,Entire home/apt,325,1,0
Washington Heights,40.85277,-73.92916,Entire home/apt,120,2,16
Chelsea,40.7382,-73.99844,Entire home/apt,250,3,17
Murray Hill,40.75008,-73.97655,Entire home/apt,222,30,2
Upper West Side,40.79582,-73.96711,Entire home/apt,158,2,1
Kips Bay,40.74316,-73.98038,Private room,400,2,0
Upper West Side,40.79424,-73.96588,Entire home/apt,200,30,2
Harlem,40.82479,-73.94218,Entire home/apt,125,30,0
Inwood,40.86227,-73.92943,Private room,60,5,1
West Village,40.73034,-74.01022,Entire home/apt,200,1,0
Hell's Kitchen,40.76052,-73.99241,Private room,109,2,7
Nolita,40.72241,-73.99377,Private room,124,1,168
Upper East Side,40.7694,-73.9572,Entire home/apt,190,1,8
Upper West Side,40.79176,-73.97329,Entire home/apt,82,1,0
Harlem,40.8087,-73.95142,Entire home/apt,245,7,0
Chelsea,40.75254,-73.99471,Entire home/apt,190,3,2
Washington Heights,40.84874,-73.94202,Private room,99,1,129
Midtown,40.75179,-73.98606,Private room,85,1,0
Theater District,40.75481,-73.9856,Private room,100,1,0
Gramercy,40.73423,-73.98211,Private room,100,1,4
Harlem,40.82508,-73.93884,Private room,70,1,14
Financial District,40.70765,-74.00761,Entire home/apt,205,2,8
West Village,40.73078,-74.00282,Entire home/apt,210,2,140
West Village,40.73192,-74.00433,Entire home/apt,156,1,0
Lower East Side,40.71864,-73.9847,Entire home/apt,160,5,20
Washington Heights,40.83494,-73.93869,Entire home/apt,250,3,32
East Village,40.72627,-73.99145,Entire home/apt,200,3,27
Financial District,40.70791,-74.00545,Entire home/apt,179,29,2
West Village,40.74049,-74.00527,Entire home/apt,600,1,106
SoHo,40.72207,-74.00232,Entire home/apt,2250,2,20
Upper West Side,40.79753,-73.96155,Shared room,55,2,0
Harlem,40.80302,-73.95605,Private room,100,6,98
Lower East Side,40.71923,-73.97972,Private room,75,1,3
Hell's Kitchen,40.76243,-73.99805,Entire home/apt,299,1,31
East Harlem,40.80211,-73.94365,Entire home/apt,350,1,1
Midtown,40.76218,-73.98002,Entire home/apt,380,2,0
Kips Bay,40.74044,-73.98029,Entire home/apt,159,30,3
Washington Heights,40.85151,-73.93789,Entire home/apt,105,2,0
East Village,40.72921,-73.98631,Private room,140,1,1
Hell's Kitchen,40.75483,-73.99405,Entire home/apt,156,1,21
Harlem,40.80862,-73.94516,Entire home/apt,185,3,141
Upper East Side,40.76989,-73.94961,Private room,53,12,1
East Village,40.72259,-73.98472,Entire home/apt,478,1,6
Upper West Side,40.7855,-73.97584,Private room,98,2,7
Chelsea,40.74584,-74.00279,Entire home/apt,225,14,0
Gramercy,40.73557,-73.98038,Entire home/apt,150,3,1
Hell's Kitchen,40.76546,-73.98782,Entire home/apt,349,3,31
East Village,40.72912,-73.98057,Private room,50,1,2
East Village,40.72605,-73.98705,Entire home/apt,99,17,11
East Village,40.72464,-73.98861,Entire home/apt,225,4,7
Hell's Kitchen,40.75562,-73.99459,Entire home/apt,175,36,0
Hell's Kitchen,40.76366,-73.9888,Entire home/apt,209,1,4
Chelsea,40.74442,-73.99908,Entire home/apt,220,2,2
Harlem,40.81639,-73.94085,Entire home/apt,115,7,57
Upper West Side,40.78323,-73.98105,Private room,95,3,191
East Harlem,40.79191,-73.94433,Entire home/apt,135,3,225
East Village,40.72411,-73.97826,Private room,150,3,103
Nolita,40.72232,-73.99433,Private room,109,7,3
Harlem,40.82914,-73.94736,Private room,69,4,153
Harlem,40.8029,-73.95576,Entire home/apt,100,3,1
Inwood,40.85901,-73.92874,Entire home/apt,79,4,4
Upper East Side,40.77697,-73.95272,Entire home/apt,145,3,2
Chinatown,40.71892,-73.99628,Entire home/apt,300,7,2
Midtown,40.76031,-73.9739,Entire home/apt,750,1,9
Upper West Side,40.79535,-73.9641,Private room,120,5,1
Upper East Side,40.77243,-73.95744,Private room,300,2,10
Harlem,40.81223,-73.95284,Entire home/apt,298,1,16
Harlem,40.82391,-73.93881,Private room,80,1,28
East Harlem,40.79846,-73.93359,Private room,62,1,4
Murray Hill,40.74699,-73.9777,Entire home/apt,799,5,1
Harlem,40.81053,-73.94332,Entire home/apt,130,2,23
SoHo,40.72768,-74.00233,Entire home/apt,500,5,24
East Harlem,40.79659,-73.93501,Private room,69,3,0
East Harlem,40.79633,-73.93605,Private room,75,2,0
Midtown,40.76096,-73.9672,Private room,120,5,0
Financial District,40.70723,-74.01086,Entire home/apt,229,2,3
Upper East Side,40.76529,-73.95771,Private room,99,1,18
Upper East Side,40.76302,-73.95769,Entire home/apt,269,30,0
East Village,40.7276,-73.98635,Entire home/apt,219,1,101
